Wave number,Location,LAT,LON,Province,Korean Name,Date,Time,Source
First Wave,"Duma-myeon, Gyeryong-si, Chungcheongnam-do",36.2542683,127.2608089,Chungcheongnam Province,충남 계룡시 두마면,"May 29, 2024",3:05 AM,Donga Ilbo
First Wave,"Tanhyeon-myeon, Paju-si",37.80919,126.71015,Gyeonggi Province,파주시 탄현면,"May 29, 2024",5:15 AM,Newsis
First Wave,"Wicheon-myeon, Geochang-gun, Gyeongsangnam-do",35.75086,127.83267,Gyeongsangnam Province,경남 거창군 위천면,"May 29, 2024",5:30 AM,Donga Ilbo
First Wave,"Mujueup, Muju-gun, Jeollabuk-do",35.93172,127.71118,Jeollabuk Province,전북자치도 무주군 무주읍,"May 29, 2024",5:45 AM,https://www.news1.kr/articles/?5430632
First Wave,"Seongnam-si, Sujeong-gu",37.4503386,127.1462933,Gyeonggi Province,성남시 수정구,"May 29, 2024",5:49 AM,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Sahudo Reservoir, Saho-dong, Jinwi-myeon, Pyeongtaek-si, Gyeonggi-do",37.10531,127.08763,Gyeonggi Province,경기도 평택시 진위면 사후동저수지,"May 29, 2024",7:03 AM,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Seoreung-ri, Dain-myeon, Uiseong-gun, Gyeongsangbuk-do",36.4485683,128.3559773,Gyeongsangbuk Province,경북 의성군 다인면 서릉리,"May 29, 2024",7:30 AM,https://www.newsis.com/view/?id=NISX20240530_0002753950&cID=10810&pID=10800
First Wave,"Daejeon-dong, Yeongcheon-si, Gyeongsangbuk-do",35.98682777,128.9147287,Gyeongsangbuk Province,경북 영천 대전동,"May 29, 2024",7:40 AM,https://news.sbs.co.kr/news/endPage.do?news_id=N1007664223&plink=SHARE&cooper=COPY
First Wave,"Dongchon-ri, Jangsu-eup, Jangsu-gun, Jeollabuk-do",35.63184,127.51603,Jeollabuk Province,전북자치도 장수군 장수읍 동촌리,"May 29, 2024",8:18 AM,https://www.news1.kr/articles/5431904
First Wave,"Sujeong-gu, Seongnam-si",37.4503386,127.1462933,Gyeonggi Province,경기 동두천시 소요산역,"May 29, 2024",10:17 AM,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,Seoul Nowon-gu,37.6768806,127.0854209,Seoul Special City,서울 노원구,"May 29, 2024",,https://www.hankyung.com/article/2024052919367
