outcome_variable,risk_factors,percentage_increase_in_MSE,reorder_var
Pulmonary Embolism,Age group,25.755340773302358,49.12820574656203
Pulmonary Embolism,Deep vein thrombosis dvt in prior year,11.387184504778261,49.12820574656203
Pulmonary Embolism,Obesity in prior year,4.298887499666484,49.12820574656203
Pulmonary Embolism,Antibiotics carbapenems in prior year,3.230621470213286,49.12820574656203
Pulmonary Embolism,Occurrence of asthma in prior year,2.4385672682559334,49.12820574656203
Pulmonary Embolism,Antibiotics aminoglycosides in prior year,2.1290306337751836,49.12820574656203
Pulmonary Embolism,Hyperlipidemia in prior year,1.8285663333699373,49.12820574656203
Pulmonary Embolism,Heart failure in prior year,1.4263794068431517,49.12820574656203
Pulmonary Embolism,Hypothyroidism in prior year,1.4148300289964602,49.12820574656203
Pulmonary Embolism,Antiepileptics in prior year,1.3853498195383018,49.12820574656203
Pulmonary Embolism,Edema in prior year,1.2251643255337097,49.12820574656203
Pulmonary Embolism,Occurrence of alcoholism in prior year,1.1827007182687332,49.12820574656203
Pulmonary Embolism,Hypertension in prior year,1.1095705358532268,49.12820574656203
Pulmonary Embolism,Sleep apnea in prior year,1.1046008937765337,49.12820574656203
Pulmonary Embolism,Opioids in prior year,1.0821187208913128,49.12820574656203
Pulmonary Embolism,Acute gastrointestinal gi bleeding in prior year,1.0708171788220493,49.12820574656203
Pulmonary Embolism,Occurrence of anxiety in prior year,0.9418306981893018,49.12820574656203
Pulmonary Embolism,Low back pain in prior year,0.9408419305141599,49.12820574656203
Pulmonary Embolism,Antibiotics fluoroquinolones in prior year,0.908442524924296,49.12820574656203
Pulmonary Embolism,Skin ulcer in prior year,0.8587146349831593,49.12820574656203
Pulmonary Embolism,Hormonal contraceptives in prior year,0.8493321715206712,49.12820574656203
Pulmonary Embolism,Pneumonia in prior year,0.7203313543203501,49.12820574656203
Pulmonary Embolism,Psychotic disorder in prior year,0.7194373226250028,49.12820574656203
Pulmonary Embolism,Occurrence of neuropathy in prior year,0.700005042910996,49.12820574656203
Pulmonary Embolism,Chronic hepatitis in prior year,0.6678105866961612,49.12820574656203
Pulmonary Embolism,Antibiotics glycopeptides and lipoglycopeptides in prior year,0.5913517357572735,49.12820574656203
Pulmonary Embolism,Coronary artery disease cad in prior year,0.5766278488783302,49.12820574656203
