year,party_short,party_long,seats,government,colour
1976,Dem,Democrat,243,1,#3333FF
1976,GOP,Republican,183,0,#E81B23
1976,Ind,Other,9,0,#B4B4B4
1978,Dem,Democrat,232,1,#3333FF
1978,GOP,Republican,194,0,#E81B23
1978,Ind,Other,9,0,#B4B4B4
1980,Dem,Democrat,219,1,#3333FF
1980,GOP,Republican,207,0,#E81B23
1980,Ind,Other,9,0,#B4B4B4
1982,Dem,Democrat,239,1,#3333FF
1982,GOP,Republican,188,0,#E81B23
1982,Ind,Other,8,0,#B4B4B4
1984,Dem,Democrat,226,1,#3333FF
1984,GOP,Republican,203,0,#E81B23
1984,Ind,Other,6,0,#B4B4B4
1986,Dem,Democrat,235,1,#3333FF
1986,GOP,Republican,192,0,#E81B23
1986,Ind,Other,7,0,#B4B4B4
1988,Dem,Democrat,225,1,#3333FF
1988,GOP,Republican,197,0,#E81B23
1988,Ind,Other,12,0,#B4B4B4
1990,Dem,Democrat,219,1,#3333FF
1990,GOP,Republican,191,0,#E81B23
1990,Ind,Other,25,0,#B4B4B4
1992,Dem,Democrat,212,0,#3333FF
1992,GOP,Republican,190,0,#E81B23
1992,Ind,Other,33,0,#B4B4B4
1994,Dem,Democrat,189,0,#3333FF
1994,GOP,Republican,224,1,#E81B23
1994,Ind,Other,22,0,#B4B4B4
1996,Dem,Democrat,209,0,#3333FF
1996,GOP,Republican,208,0,#E81B23
1996,Ind,Other,18,0,#B4B4B4
1998,Dem,Democrat,198,0,#3333FF
1998,GOP,Republican,208,0,#E81B23
1998,Ind,Other,29,0,#B4B4B4
2000,Dem,Democrat,199,0,#3333FF
2000,GOP,Republican,206,0,#E81B23
2000,Ind,Other,30,0,#B4B4B4
2002,Dem,Democrat,189,0,#3333FF
2002,GOP,Republican,216,0,#E81B23
2002,Ind,Other,29,0,#B4B4B4
2004,Dem,Democrat,197,0,#3333FF
2004,GOP,Republican,214,0,#E81B23
2004,Ind,Other,24,0,#B4B4B4
2006,Dem,Democrat,222,1,#3333FF
2006,GOP,Republican,192,0,#E81B23
2006,Ind,Other,21,0,#B4B4B4
2008,Dem,Democrat,225,1,#3333FF
2008,GOP,Republican,184,0,#E81B23
2008,Ind,Other,26,0,#B4B4B4
2010,Dem,Democrat,194,0,#3333FF
2010,GOP,Republican,223,1,#E81B23
2010,Ind,Other,18,0,#B4B4B4
2012,Dem,Democrat,208,0,#3333FF
2012,GOP,Republican,206,0,#E81B23
2012,Ind,Other,21,0,#B4B4B4
2014,Dem,Democrat,191,0,#3333FF
2014,GOP,Republican,220,1,#E81B23
2014,Ind,Other,24,0,#B4B4B4
2016,Dem,Democrat,204,0,#3333FF
2016,GOP,Republican,210,0,#E81B23
2016,Ind,Other,20,0,#B4B4B4
2018,Dem,Democrat,225,1,#3333FF
2018,GOP,Republican,194,0,#E81B23
2018,Ind,Other,15,0,#B4B4B4
2020,Dem,Democrat,217,0,#3333FF
2020,GOP,Republican,205,0,#E81B23
2020,Ind,Other,13,0,#B4B4B4
2022,Dem,Democrat,204,0,#3333FF
2022,GOP,Republican,218,1,#E81B23
2022,Ind,Other,13,0,#B4B4B4
